date,max_temp_c,min_temp_c,rainfall_mm
2025-09-11,31.9,24.0,13.1
2025-09-12,30.6,23.6,9.1
2025-09-13,30.0,23.9,11.7
2025-09-14,32.3,23.7,2.6
2025-09-15,31.4,23.4,5.4
2025-09-16,31.0,23.4,0.7
2025-09-17,29.4,22.9,13.8
2025-09-18,31.8,24.0,0.1
2025-09-19,32.2,23.9,0.0
2025-09-20,33.4,24.5,1.9
2025-09-21,33.4,24.4,0.7
2025-09-22,33.4,24.3,1.0
2025-09-23,33.9,24.0,0.5
2025-09-24,35.4,24.6,0.0
2025-09-25,34.7,25.1,0.1
2025-09-26,34.9,26.7,2.4
2025-09-27,33.8,25.4,2.6
2025-09-28,27.5,23.0,29.2
2025-09-29,31.6,24.7,0.1
2025-09-30,32.2,25.2,0.0
2025-10-01,31.4,24.1,5.5
2025-10-02,33.3,22.8,9.8
2025-10-03,28.1,23.5,19.6
2025-10-04,32.2,22.5,1.7
2025-10-05,33.1,24.1,0.2
2025-10-06,31.7,24.8,13.5
2025-10-07,30.4,22.7,8.3
2025-10-08,31.0,23.2,0.5
2025-10-09,32.2,23.9,0.2
2025-10-10,32.2,24.2,0.9
2025-10-11,32.2,24.4,3.5
2025-10-12,28.6,24.5,17.9
2025-10-13,32.6,24.4,0.0
2025-10-14,32.7,25.0,16.2
2025-10-15,34.3,24.7,10.4
2025-10-16,31.5,23.8,32.5
2025-10-17,31.7,24.0,4.7
2025-10-18,32.5,23.7,12.1
2025-10-19,30.9,24.8,2.6
2025-10-20,30.1,23.9,16.3
2025-10-21,32.0,23.5,2.7
2025-10-22,28.6,23.9,5.7
2025-10-23,29.2,23.4,19.5
2025-10-24,28.3,23.4,18.7
2025-10-25,30.6,23.6,1.1
2025-10-26,32.9,24.1,0.0
2025-10-27,32.8,25.3,0.0
2025-10-28,33.2,26.0,0.1
2025-10-29,33.1,25.6,0.2
2025-10-30,32.9,25.2,1.6
2025-10-31,35.4,25.2,0.0
2025-11-01,34.2,25.4,1.0
2025-11-02,34.7,26.8,0.5
2025-11-03,34.4,24.8,2.7
2025-11-04,34.7,24.7,1.2
2025-11-05,34.3,25.7,0.6
2025-11-06,34.4,26.7,0.2
2025-11-07,34.2,25.6,1.8
2025-11-08,36.1,26.5,0.1
2025-11-09,33.0,26.4,1.6
2025-11-10,30.6,22.9,11.8
2025-11-11,29.9,23.5,5.2
2025-11-12,32.0,23.5,17.7
2025-11-13,30.0,23.8,21.3
2025-11-14,31.7,23.1,1.7
2025-11-15,31.5,24.1,16.1
2025-11-16,30.4,23.1,28.5
2025-11-17,30.5,23.8,13.3
